id,inscritos,votantes,brancos,nulos,validos,0,1,2,3,4,5,6,7,8,9
070200,"6,112","3,581",35,38,"3,508",17,"1,044",14,681,13,87,383,141,"1,094",34
070300,"6,238","3,310",41,25,"3,244",22,"1,095",17,208,5,74,364,156,"1,264",39
070400,"12,134","6,069",69,63,"5,937",32,"1,742",13,330,18,110,557,265,"2,788",82
070500,"47,686","24,922",308,181,"24,433",190,"7,383",47,"1,752",42,433,"2,973",870,"10,286",457
070600,"14,641","8,261",106,62,"8,093",41,"2,272",25,"1,753",23,178,774,342,"2,580",105
070700,"4,450","2,223",38,15,"2,170",7,551,7,537,8,38,186,77,730,29
070800,"2,272","1,028",7,12,"1,009",8,322,6,72,5,17,85,58,428,8
070900,"5,462","2,480",25,17,"2,438",13,890,2,541,10,61,230,103,565,23
071000,"5,890","2,609",34,21,"2,554",7,764,10,250,10,57,320,148,955,33
071100,"9,159","4,217",53,34,"4,130",18,"1,509",9,234,18,98,432,160,"1,607",45
071200,"10,171","5,186",71,35,"5,080",30,"1,352",8,719,8,139,475,221,"2,034",94
071300,"4,841","2,309",22,26,"2,261",11,761,8,423,7,39,273,80,632,27
071400,"7,105","3,482",35,23,"3,424",21,901,10,271,8,98,313,168,"1,608",26
080100,"33,062","13,292",188,126,"12,978",79,"2,660",27,323,31,438,"1,707",548,"6,807",358
080200,"2,626","1,299",22,13,"1,264",11,339,5,45,3,23,102,104,623,9
080300,"4,094","1,967",36,30,"1,901",17,537,10,86,6,92,279,115,707,52
080400,"5,799","2,547",28,30,"2,489",19,698,9,79,6,62,300,133,"1,131",52
080500,"55,879","26,451",329,216,"25,906",189,"6,782",43,959,57,557,"3,326","1,002","12,093",898
080600,"18,247","8,641",109,85,"8,447",60,"1,854",28,295,27,238,"1,360",390,"3,937",258
080700,"23,398","10,634",158,91,"10,385",72,"2,737",28,380,20,273,"1,585",501,"4,425",364
080800,"57,452","23,916",334,265,"23,317",179,"4,943",57,508,55,601,"2,526",896,"13,004",548
080900,"4,840","2,948",61,43,"2,844",29,729,21,110,7,81,381,155,"1,284",47
081000,"37,545","14,977",207,141,"14,629",102,"3,355",35,556,42,393,"2,451",626,"6,639",430
081100,"47,107","21,334",248,208,"20,878",128,"4,916",43,627,45,564,"3,124",910,"9,669",852
081200,"8,938","4,105",78,53,"3,974",34,893,8,101,7,126,513,210,"1,997",85
081300,"29,690","13,958",210,177,"13,571",99,"3,175",39,830,37,401,"1,944",646,"6,002",398
081400,"21,858","10,143",150,100,"9,893",84,"2,498",24,231,23,238,"1,252",438,"4,874",231
081500,"3,915","1,838",23,12,"1,803",8,488,3,75,4,64,265,106,745,45
081600,"16,880","6,619",70,49,"6,500",34,"1,707",12,505,9,139,"1,040",291,"2,623",140
090100,"6,591","2,817",27,32,"2,758",23,412,8,12,6,85,147,105,"1,932",28
090200,"7,541","3,190",33,46,"3,111",23,573,15,44,6,71,257,138,"1,957",27
090300,"8,479","3,583",33,32,"3,518",25,698,10,17,11,123,271,138,"2,183",42
090400,"5,879","2,617",22,35,"2,560",14,630,14,21,8,101,210,118,"1,420",24
090500,"5,148","2,535",22,32,"2,481",18,503,6,26,3,111,177,134,"1,478",25
090600,"14,360","6,305",91,75,"6,139",42,"1,491",23,152,14,185,432,287,"3,458",55
090700,"39,589","19,838",185,261,"19,392",113,"4,486",42,252,35,501,"2,046",700,"10,882",335
